train | step:     0 | train_loss: 32.51923 | lr: 6.0000e-06 | norm: 1.3674
train | step:     1 | train_loss: 32.50205 | lr: 1.2000e-05 | norm: 1.4015
train | step:     2 | train_loss: 32.46851 | lr: 1.8000e-05 | norm: 1.3706
train | step:     3 | train_loss: 32.41994 | lr: 2.4000e-05 | norm: 1.3749
train | step:     4 | train_loss: 32.35104 | lr: 3.0000e-05 | norm: 1.4301
train | step:     5 | train_loss: 32.27072 | lr: 3.6000e-05 | norm: 1.4885
train | step:     6 | train_loss: 32.16621 | lr: 4.2000e-05 | norm: 1.6688
train | step:     7 | train_loss: 32.04215 | lr: 4.8000e-05 | norm: 1.9315
train | step:     8 | train_loss: 31.88741 | lr: 5.4000e-05 | norm: 2.3395
train | step:     9 | train_loss: 31.70429 | lr: 6.0000e-05 | norm: 2.9257
train | step:    10 | train_loss: 31.47339 | lr: 6.6000e-05 | norm: 3.7310
train | step:    11 | train_loss: 31.21436 | lr: 7.2000e-05 | norm: 4.8319
train | step:    12 | train_loss: 30.98039 | lr: 7.8000e-05 | norm: 6.0278
train | step:    13 | train_loss: 30.75656 | lr: 8.4000e-05 | norm: 7.2211
train | step:    14 | train_loss: 30.56720 | lr: 9.0000e-05 | norm: 8.0255
train | step:    15 | train_loss: 30.51196 | lr: 9.6000e-05 | norm: 11.3630
train | step:    16 | train_loss: 30.37432 | lr: 1.0200e-04 | norm: 13.8712
train | step:    17 | train_loss: 30.25184 | lr: 1.0800e-04 | norm: 11.0374
train | step:    18 | train_loss: 30.04314 | lr: 1.1400e-04 | norm: 11.2580
train | step:    19 | train_loss: 29.79731 | lr: 1.2000e-04 | norm: 12.7612
train | step:    20 | train_loss: 29.35440 | lr: 1.2600e-04 | norm: 11.8528
train | step:    21 | train_loss: 28.94043 | lr: 1.3200e-04 | norm: 10.1015
train | step:    22 | train_loss: 28.53913 | lr: 1.3800e-04 | norm: 8.8072
train | step:    23 | train_loss: 28.18110 | lr: 1.4400e-04 | norm: 9.0753
train | step:    24 | train_loss: 27.90458 | lr: 1.5000e-04 | norm: 8.5616
train | step:    25 | train_loss: 27.55593 | lr: 1.5600e-04 | norm: 7.5051
train | step:    26 | train_loss: 27.24186 | lr: 1.6200e-04 | norm: 7.6293
train | step:    27 | train_loss: 26.97260 | lr: 1.6800e-04 | norm: 8.0403
train | step:    28 | train_loss: 26.75040 | lr: 1.7400e-04 | norm: 7.1411
train | step:    29 | train_loss: 26.35166 | lr: 1.8000e-04 | norm: 8.2388
train | step:    30 | train_loss: 26.01040 | lr: 1.8600e-04 | norm: 7.5744
train | step:    31 | train_loss: 25.71495 | lr: 1.9200e-04 | norm: 7.5318
train | step:    32 | train_loss: 25.48733 | lr: 1.9800e-04 | norm: 8.2750
train | step:    33 | train_loss: 25.21206 | lr: 2.0400e-04 | norm: 7.7449
train | step:    34 | train_loss: 24.78600 | lr: 2.1000e-04 | norm: 6.4538
train | step:    35 | train_loss: 24.60541 | lr: 2.1600e-04 | norm: 6.6323
train | step:    36 | train_loss: 24.38790 | lr: 2.2200e-04 | norm: 6.7667
train | step:    37 | train_loss: 23.96306 | lr: 2.2800e-04 | norm: 6.3950
train | step:    38 | train_loss: 23.51678 | lr: 2.3400e-04 | norm: 7.5903
train | step:    39 | train_loss: 23.31611 | lr: 2.4000e-04 | norm: 8.9915
train | step:    40 | train_loss: 23.19049 | lr: 2.4600e-04 | norm: 9.0585
train | step:    41 | train_loss: 22.96428 | lr: 2.5200e-04 | norm: 9.2573
train | step:    42 | train_loss: 22.66042 | lr: 2.5800e-04 | norm: 8.9850
train | step:    43 | train_loss: 22.50421 | lr: 2.6400e-04 | norm: 9.4771
train | step:    44 | train_loss: 22.42657 | lr: 2.7000e-04 | norm: 9.4472
train | step:    45 | train_loss: 22.20842 | lr: 2.7600e-04 | norm: 9.4751
train | step:    46 | train_loss: 21.97939 | lr: 2.8200e-04 | norm: 8.0460
train | step:    47 | train_loss: 21.79171 | lr: 2.8800e-04 | norm: 8.3684
train | step:    48 | train_loss: 21.63738 | lr: 2.9400e-04 | norm: 11.1382
train | step:    49 | train_loss: 21.36598 | lr: 3.0000e-04 | norm: 10.1952
train | step:    50 | train_loss: 21.57828 | lr: 3.0600e-04 | norm: 8.9778
train | step:    51 | train_loss: 21.35910 | lr: 3.1200e-04 | norm: 24.0842
train | step:    52 | train_loss: 21.64694 | lr: 3.1800e-04 | norm: 12.6647
train | step:    53 | train_loss: 21.45145 | lr: 3.2400e-04 | norm: 10.3799
train | step:    54 | train_loss: 21.17127 | lr: 3.3000e-04 | norm: 9.8406
train | step:    55 | train_loss: 21.00182 | lr: 3.3600e-04 | norm: 8.5016
train | step:    56 | train_loss: 21.15198 | lr: 3.4200e-04 | norm: 8.9760
train | step:    57 | train_loss: 21.09687 | lr: 3.4800e-04 | norm: 9.7598
train | step:    58 | train_loss: 20.76882 | lr: 3.5400e-04 | norm: 6.9950
train | step:    59 | train_loss: 20.92471 | lr: 3.6000e-04 | norm: 17.2083
train | step:    60 | train_loss: 20.96819 | lr: 3.6600e-04 | norm: 10.1023
train | step:    61 | train_loss: 20.85711 | lr: 3.7200e-04 | norm: 9.2252
train | step:    62 | train_loss: 20.74861 | lr: 3.7800e-04 | norm: 7.2575
train | step:    63 | train_loss: 20.57659 | lr: 3.8400e-04 | norm: 7.6757
train | step:    64 | train_loss: 20.48832 | lr: 3.9000e-04 | norm: 6.3008
train | step:    65 | train_loss: 20.50692 | lr: 3.9600e-04 | norm: 7.0779
train | step:    66 | train_loss: 20.50837 | lr: 4.0200e-04 | norm: 4.3632
