train | 1:10.83558 | 2:10.82353 | 3:10.85811
train | 1:10.83209 | 2:10.81922 | 3:10.85606
train | 1:10.83298 | 2:10.80821 | 3:10.83031
train | 1:10.83494 | 2:10.78170 | 3:10.80145
train | 1:10.83392 | 2:10.75762 | 3:10.75961
train | 1:10.83551 | 2:10.72613 | 3:10.70586
train | 1:10.83421 | 2:10.68909 | 3:10.64409
train | 1:10.82913 | 2:10.65528 | 3:10.55675
train | 1:10.82732 | 2:10.60750 | 3:10.46132
train | 1:10.82844 | 2:10.56034 | 3:10.33247
train | 1:10.81978 | 2:10.48333 | 3:10.13923
train | 1:10.82078 | 2:10.43258 | 3:9.97322
train | 1:10.81788 | 2:10.37265 | 3:9.78724
train | 1:10.81510 | 2:10.25720 | 3:9.53406
train | 1:10.81843 | 2:10.20005 | 3:9.45911
train | 1:10.81245 | 2:10.20442 | 3:9.59269
train | 1:10.81065 | 2:10.08434 | 3:9.51298
train | 1:10.80768 | 2:10.05221 | 3:9.41044
train | 1:10.80284 | 2:9.94262 | 3:9.25123
train | 1:10.80190 | 2:9.85330 | 3:9.04126
train | 1:10.79736 | 2:9.82920 | 3:8.70882
train | 1:10.79664 | 2:9.72784 | 3:8.36258
train | 1:10.79848 | 2:9.65733 | 3:8.04628
train | 1:10.78849 | 2:9.60658 | 3:7.73251
train | 1:10.79179 | 2:9.46478 | 3:7.48212
train | 1:10.78979 | 2:9.48457 | 3:7.36828
train | 1:10.78420 | 2:9.38848 | 3:7.24761
train | 1:10.78634 | 2:9.23200 | 3:6.84079
train | 1:10.77333 | 2:9.08312 | 3:6.54525
train | 1:10.77141 | 2:9.00164 | 3:6.35781
train | 1:10.78021 | 2:8.99327 | 3:6.46956
train | 1:10.77121 | 2:8.75113 | 3:6.20517
train | 1:10.76495 | 2:8.51829 | 3:5.92141
train | 1:10.77213 | 2:8.60309 | 3:6.17444
train | 1:10.76231 | 2:8.21078 | 3:5.71058
train | 1:10.76549 | 2:8.12428 | 3:5.69503
train | 1:10.76162 | 2:7.98893 | 3:5.70086
train | 1:10.75986 | 2:7.88078 | 3:5.68878
train | 1:10.75000 | 2:7.40256 | 3:5.27021
train | 1:10.75058 | 2:7.22646 | 3:5.24984
train | 1:10.74936 | 2:7.16475 | 3:5.36918
train | 1:10.75004 | 2:6.93050 | 3:5.21942
train | 1:10.74234 | 2:6.82516 | 3:5.42364
train | 1:10.73874 | 2:6.43695 | 3:5.07411
train | 1:10.73509 | 2:6.44424 | 3:5.25626
train | 1:10.73553 | 2:6.19529 | 3:5.20605
train | 1:10.72346 | 2:6.09653 | 3:5.21299
train | 1:10.72167 | 2:5.85361 | 3:4.99578
train | 1:10.72299 | 2:5.96404 | 3:5.29226
train | 1:10.71196 | 2:5.44674 | 3:4.98197
train | 1:10.70487 | 2:5.48391 | 3:5.01747
train | 1:10.70413 | 2:5.38405 | 3:5.19608
train | 1:10.70130 | 2:5.53971 | 3:5.52611
train | 1:10.69552 | 2:5.54834 | 3:5.38049
train | 1:10.69074 | 2:5.48486 | 3:5.24980
train | 1:10.68537 | 2:5.39836 | 3:5.20417
train | 1:10.67829 | 2:5.24512 | 3:5.05017
train | 1:10.67791 | 2:5.17591 | 3:5.05624
train | 1:10.67108 | 2:5.24626 | 3:5.06873
train | 1:10.65778 | 2:5.04352 | 3:5.08635
train | 1:10.65891 | 2:5.05441 | 3:5.09919
train | 1:10.65569 | 2:5.21264 | 3:5.12621
train | 1:10.64070 | 2:5.00151 | 3:4.88777
train | 1:10.64617 | 2:5.26878 | 3:5.15628
train | 1:10.62624 | 2:4.97710 | 3:4.83817
train | 1:10.61569 | 2:4.78030 | 3:4.72258
train | 1:10.61343 | 2:4.88450 | 3:4.74796
train | 1:10.61495 | 2:5.05364 | 3:4.99676
train | 1:10.60215 | 2:4.74838 | 3:4.69205
train | 1:10.60437 | 2:4.96076 | 3:4.93727
train | 1:10.59511 | 2:5.06290 | 3:5.03458
train | 1:10.57020 | 2:4.70560 | 3:4.65529
train | 1:10.55822 | 2:4.62646 | 3:4.62900
train | 1:10.55117 | 2:4.55406 | 3:4.56607
train | 1:10.54813 | 2:4.95468 | 3:4.92050
train | 1:10.52597 | 2:4.64952 | 3:4.71285
train | 1:10.52120 | 2:4.58638 | 3:4.60499
train | 1:10.51354 | 2:4.62051 | 3:4.78478
train | 1:10.49978 | 2:4.63184 | 3:4.81545
train | 1:10.50098 | 2:4.84283 | 3:4.92606
train | 1:10.48051 | 2:4.56174 | 3:4.70275
train | 1:10.46724 | 2:4.53527 | 3:4.75776
train | 1:10.46975 | 2:4.72940 | 3:4.90944
