train | step:     0 | train_loss: 33.92640 | lr: 6.0000e-06 | norm: 10.1893
train | step:     1 | train_loss: 33.82047 | lr: 1.2000e-05 | norm: 9.9806
train | step:     2 | train_loss: 33.67816 | lr: 1.8000e-05 | norm: 9.3309
train | step:     3 | train_loss: 33.49215 | lr: 2.4000e-05 | norm: 8.5830
train | step:     4 | train_loss: 33.21515 | lr: 3.0000e-05 | norm: 7.8606
train | step:     5 | train_loss: 32.97730 | lr: 3.6000e-05 | norm: 7.3765
train | step:     6 | train_loss: 32.76548 | lr: 4.2000e-05 | norm: 6.9259
train | step:     7 | train_loss: 32.56462 | lr: 4.8000e-05 | norm: 7.0106
train | step:     8 | train_loss: 32.38535 | lr: 5.4000e-05 | norm: 7.4528
train | step:     9 | train_loss: 32.26591 | lr: 6.0000e-05 | norm: 8.2974
train | step:    10 | train_loss: 32.11428 | lr: 6.6000e-05 | norm: 8.9958
train | step:    11 | train_loss: 31.98730 | lr: 7.2000e-05 | norm: 9.7007
train | step:    12 | train_loss: 31.94165 | lr: 7.8000e-05 | norm: 9.7545
train | step:    13 | train_loss: 31.82599 | lr: 8.4000e-05 | norm: 9.4642
train | step:    14 | train_loss: 31.70400 | lr: 9.0000e-05 | norm: 9.4243
train | step:    15 | train_loss: 31.65689 | lr: 9.6000e-05 | norm: 9.2282
train | step:    16 | train_loss: 31.49199 | lr: 1.0200e-04 | norm: 9.3672
train | step:    17 | train_loss: 31.33116 | lr: 1.0800e-04 | norm: 9.7688
train | step:    18 | train_loss: 31.17184 | lr: 1.1400e-04 | norm: 9.5476
train | step:    19 | train_loss: 30.96604 | lr: 1.2000e-04 | norm: 9.6101
train | step:    20 | train_loss: 30.74750 | lr: 1.2600e-04 | norm: 9.6321
train | step:    21 | train_loss: 30.61315 | lr: 1.3200e-04 | norm: 9.4911
train | step:    22 | train_loss: 30.34090 | lr: 1.3800e-04 | norm: 9.8162
train | step:    23 | train_loss: 30.11850 | lr: 1.4400e-04 | norm: 9.6516
train | step:    24 | train_loss: 29.85755 | lr: 1.5000e-04 | norm: 9.5351
train | step:    25 | train_loss: 29.58464 | lr: 1.5600e-04 | norm: 9.8619
train | step:    26 | train_loss: 29.35376 | lr: 1.6200e-04 | norm: 10.4806
train | step:    27 | train_loss: 29.01533 | lr: 1.6800e-04 | norm: 10.1356
train | step:    28 | train_loss: 28.81295 | lr: 1.7400e-04 | norm: 11.6483
train | step:    29 | train_loss: 28.41819 | lr: 1.8000e-04 | norm: 12.1258
train | step:    30 | train_loss: 28.06013 | lr: 1.8600e-04 | norm: 10.7366
train | step:    31 | train_loss: 27.94783 | lr: 1.9200e-04 | norm: 24.8567
train | step:    32 | train_loss: 27.56331 | lr: 1.9800e-04 | norm: 15.3777
train | step:    33 | train_loss: 27.33618 | lr: 2.0400e-04 | norm: 17.3547
train | step:    34 | train_loss: 26.88104 | lr: 2.1000e-04 | norm: 20.6717
train | step:    35 | train_loss: 26.78193 | lr: 2.1600e-04 | norm: 14.7431
train | step:    36 | train_loss: 26.42086 | lr: 2.2200e-04 | norm: 10.2110
train | step:    37 | train_loss: 26.22617 | lr: 2.2800e-04 | norm: 20.9629
train | step:    38 | train_loss: 25.69987 | lr: 2.3400e-04 | norm: 13.3852
train | step:    39 | train_loss: 25.39326 | lr: 2.4000e-04 | norm: 12.7678
train | step:    40 | train_loss: 25.45477 | lr: 2.4600e-04 | norm: 20.8954
train | step:    41 | train_loss: 25.12189 | lr: 2.5200e-04 | norm: 16.4189
train | step:    42 | train_loss: 24.90152 | lr: 2.5800e-04 | norm: 15.2769
train | step:    43 | train_loss: 24.80162 | lr: 2.6400e-04 | norm: 33.1596
train | step:    44 | train_loss: 24.66883 | lr: 2.7000e-04 | norm: 15.0353
train | step:    45 | train_loss: 24.21296 | lr: 2.7600e-04 | norm: 12.3038
train | step:    46 | train_loss: 24.26594 | lr: 2.8200e-04 | norm: 27.0373
train | step:    47 | train_loss: 23.97287 | lr: 2.8800e-04 | norm: 18.5796
train | step:    48 | train_loss: 23.72087 | lr: 2.9400e-04 | norm: 14.7713
train | step:    49 | train_loss: 23.22859 | lr: 3.0000e-04 | norm: 17.0662
train | step:    50 | train_loss: 23.69209 | lr: 3.0600e-04 | norm: 21.8311
train | step:    51 | train_loss: 23.18721 | lr: 3.1200e-04 | norm: 15.6840
train | step:    52 | train_loss: 23.26982 | lr: 3.1800e-04 | norm: 31.4420
train | step:    53 | train_loss: 23.29347 | lr: 3.2400e-04 | norm: 19.8843
train | step:    54 | train_loss: 22.90215 | lr: 3.3000e-04 | norm: 13.8597
train | step:    55 | train_loss: 22.63353 | lr: 3.3600e-04 | norm: 14.6048
train | step:    56 | train_loss: 22.75937 | lr: 3.4200e-04 | norm: 29.5794
train | step:    57 | train_loss: 22.98320 | lr: 3.4800e-04 | norm: 28.5155
train | step:    58 | train_loss: 22.56049 | lr: 3.5400e-04 | norm: 14.8528
train | step:    59 | train_loss: 22.19725 | lr: 3.6000e-04 | norm: 13.5102
train | step:    60 | train_loss: 22.26332 | lr: 3.6600e-04 | norm: 16.9786
train | step:    61 | train_loss: 22.24046 | lr: 3.7200e-04 | norm: 13.5765
train | step:    62 | train_loss: 22.04144 | lr: 3.7800e-04 | norm: 13.0024
train | step:    63 | train_loss: 21.94191 | lr: 3.8400e-04 | norm: 12.2600
train | step:    64 | train_loss: 21.75776 | lr: 3.9000e-04 | norm: 10.6162
train | step:    65 | train_loss: 21.57697 | lr: 3.9600e-04 | norm: 10.0624
