train | 1:11.35387 | 2:11.19771 | 3:11.37843
train | 1:11.35386 | 2:11.17318 | 3:11.26878
train | 1:11.35373 | 2:11.12961 | 3:11.20993
train | 1:11.32165 | 2:11.03606 | 3:11.06588
train | 1:11.33829 | 2:10.92927 | 3:10.94366
train | 1:11.33055 | 2:10.84855 | 3:10.85550
train | 1:11.33366 | 2:10.74127 | 3:10.70637
train | 1:11.31247 | 2:10.65792 | 3:10.65373
train | 1:11.32183 | 2:10.56071 | 3:10.54102
train | 1:11.30716 | 2:10.49996 | 3:10.46378
train | 1:11.27993 | 2:10.37286 | 3:10.42725
train | 1:11.25349 | 2:10.45128 | 3:10.35068
train | 1:11.26101 | 2:10.32722 | 3:10.30993
train | 1:11.26112 | 2:10.23860 | 3:10.19740
train | 1:11.21415 | 2:10.30683 | 3:10.12170
train | 1:11.21510 | 2:10.45422 | 3:10.15615
train | 1:11.16875 | 2:10.34016 | 3:10.08596
train | 1:11.19950 | 2:10.29868 | 3:9.98789
train | 1:11.14780 | 2:10.15215 | 3:9.90322
train | 1:11.11995 | 2:9.96733 | 3:9.72559
train | 1:11.10626 | 2:9.98276 | 3:9.66631
train | 1:11.08202 | 2:9.88772 | 3:9.64274
train | 1:11.04641 | 2:9.77878 | 3:9.42748
train | 1:10.97165 | 2:9.72440 | 3:9.28372
train | 1:11.00434 | 2:9.57905 | 3:9.12277
train | 1:10.93074 | 2:9.57850 | 3:9.10308
train | 1:10.91920 | 2:9.59921 | 3:8.95487
train | 1:10.89068 | 2:9.31390 | 3:8.76842
train | 1:10.88244 | 2:9.18226 | 3:8.40986
train | 1:10.83916 | 2:9.05629 | 3:8.24018
train | 1:10.76573 | 2:9.20656 | 3:8.33911
train | 1:10.78189 | 2:9.05520 | 3:8.19602
train | 1:10.69567 | 2:8.75508 | 3:7.77745
train | 1:10.73899 | 2:8.95925 | 3:7.95723
train | 1:10.62903 | 2:8.55001 | 3:7.52397
train | 1:10.60234 | 2:8.51102 | 3:7.52192
train | 1:10.60563 | 2:8.53866 | 3:7.29919
train | 1:10.57758 | 2:8.53926 | 3:7.41267
train | 1:10.54182 | 2:8.08208 | 3:6.97037
train | 1:10.53087 | 2:8.06092 | 3:6.79576
train | 1:10.52647 | 2:8.04882 | 3:6.97643
train | 1:10.42652 | 2:7.84924 | 3:6.76604
train | 1:10.40247 | 2:7.87614 | 3:6.83859
train | 1:10.38144 | 2:7.58220 | 3:6.58718
train | 1:10.32623 | 2:7.67060 | 3:6.65830
train | 1:10.30404 | 2:7.51967 | 3:6.30507
train | 1:10.29023 | 2:7.43033 | 3:6.67530
train | 1:10.23960 | 2:7.24409 | 3:6.33252
train | 1:10.20794 | 2:7.27818 | 3:6.42882
train | 1:10.10664 | 2:6.93803 | 3:5.97146
train | 1:10.11001 | 2:6.92506 | 3:6.27740
train | 1:10.07871 | 2:6.85565 | 3:6.13646
train | 1:10.06521 | 2:6.96778 | 3:6.37038
train | 1:10.05086 | 2:6.88263 | 3:6.46286
train | 1:9.99533 | 2:6.75753 | 3:6.24890
train | 1:9.89482 | 2:6.63738 | 3:6.17670
train | 1:9.91341 | 2:6.55238 | 3:6.05818
train | 1:9.91413 | 2:6.49699 | 3:6.32311
train | 1:9.83936 | 2:6.61942 | 3:6.32159
train | 1:9.74628 | 2:6.40494 | 3:5.92659
train | 1:9.74739 | 2:6.32176 | 3:5.96626
train | 1:9.80360 | 2:6.40541 | 3:6.08975
train | 1:9.67515 | 2:6.27656 | 3:5.90154
train | 1:9.70435 | 2:6.46777 | 3:6.25340
train | 1:9.64740 | 2:6.19745 | 3:5.82544
train | 1:9.53891 | 2:6.06049 | 3:5.58849
train | 1:9.59924 | 2:6.12627 | 3:5.89711
train | 1:9.43809 | 2:6.26762 | 3:6.00391
train | 1:9.52272 | 2:6.01009 | 3:5.64501
train | 1:9.45897 | 2:6.20935 | 3:5.82986
train | 1:9.39394 | 2:6.27224 | 3:6.05278
train | 1:9.37590 | 2:5.92455 | 3:5.61989
train | 1:9.12155 | 2:5.86631 | 3:5.62223
train | 1:9.22220 | 2:5.82327 | 3:5.57636
train | 1:9.26390 | 2:6.14590 | 3:5.92235
train | 1:9.00819 | 2:5.81146 | 3:5.60480
train | 1:8.90639 | 2:5.79160 | 3:5.53147
train | 1:9.04576 | 2:5.85486 | 3:5.66634
train | 1:8.93446 | 2:5.84316 | 3:5.61273
train | 1:9.11194 | 2:6.01296 | 3:5.93731
train | 1:8.78155 | 2:5.75671 | 3:5.65777
train | 1:8.77380 | 2:5.75426 | 3:5.69775
train | 1:8.93837 | 2:5.93593 | 3:5.89200
train | 1:8.68581 | 2:5.80639 | 3:5.59164
train | 1:8.71736 | 2:5.70816 | 3:5.56650
train | 1:8.57888 | 2:5.69276 | 3:5.51576
train | 1:8.59501 | 2:5.71723 | 3:5.56083
train | 1:8.63210 | 2:5.80451 | 3:5.56115
train | 1:8.42719 | 2:5.75086 | 3:5.59495
train | 1:8.51861 | 2:5.79635 | 3:5.65718
train | 1:8.26181 | 2:5.64658 | 3:5.46874
train | 1:8.43368 | 2:5.61141 | 3:5.48796
train | 1:8.29132 | 2:5.58251 | 3:5.46454
train | 1:8.33104 | 2:5.41020 | 3:5.34757
train | 1:8.13289 | 2:5.47532 | 3:5.35267
train | 1:8.38278 | 2:5.76411 | 3:5.76457
train | 1:8.31763 | 2:5.51454 | 3:5.45580
train | 1:8.26202 | 2:5.76565 | 3:5.87281
train | 1:8.06832 | 2:5.45472 | 3:5.46441
train | 1:8.15690 | 2:5.66858 | 3:5.68005
train | 1:8.26183 | 2:5.57281 | 3:5.54960
train | 1:8.01417 | 2:5.37189 | 3:5.39275
train | 1:8.30663 | 2:5.42735 | 3:5.38890
train | 1:8.05912 | 2:5.40382 | 3:5.40950
train | 1:8.29054 | 2:5.70286 | 3:5.74895
train | 1:7.97816 | 2:5.31914 | 3:5.30175
train | 1:7.96865 | 2:5.38423 | 3:5.32386
train | 1:8.35416 | 2:5.45539 | 3:5.43043
train | 1:7.86127 | 2:5.23882 | 3:5.19055
train | 1:8.02971 | 2:5.25707 | 3:5.18896
train | 1:7.83300 | 2:5.49374 | 3:5.48323
train | 1:8.36319 | 2:5.41316 | 3:5.37824
train | 1:8.03449 | 2:5.51369 | 3:5.73852
train | 1:7.80061 | 2:5.21647 | 3:5.24377
train | 1:8.06702 | 2:5.73850 | 3:5.83055
train | 1:7.96162 | 2:5.32051 | 3:5.39971
train | 1:8.09755 | 2:5.33368 | 3:5.33301
train | 1:8.17939 | 2:5.47506 | 3:5.53899
train | 1:8.08637 | 2:5.41731 | 3:5.47330
train | 1:7.70842 | 2:5.18279 | 3:5.18836
train | 1:7.78681 | 2:5.32821 | 3:5.39617
train | 1:7.90100 | 2:5.28970 | 3:5.39286
train | 1:7.80908 | 2:5.33377 | 3:5.37632
train | 1:7.85879 | 2:5.32299 | 3:5.43685
train | 1:7.79355 | 2:5.21172 | 3:5.27586
train | 1:8.14645 | 2:5.41959 | 3:5.41623
train | 1:7.90423 | 2:5.23118 | 3:5.29848
train | 1:8.09301 | 2:5.61422 | 3:5.64468
train | 1:7.81027 | 2:5.38194 | 3:5.41631
train | 1:7.68841 | 2:5.17614 | 3:5.15205
train | 1:7.60774 | 2:5.18592 | 3:5.21904
train | 1:7.82418 | 2:5.28369 | 3:5.32628
train | 1:7.73364 | 2:5.10218 | 3:5.22573
train | 1:7.92731 | 2:5.57345 | 3:5.61078
train | 1:7.85080 | 2:5.35318 | 3:5.44631
train | 1:7.87833 | 2:5.22930 | 3:5.24325
train | 1:7.56036 | 2:5.02373 | 3:5.08714
train | 1:7.69763 | 2:5.08448 | 3:5.22079
train | 1:7.43322 | 2:4.84825 | 3:5.04453
train | 1:8.16896 | 2:5.29197 | 3:5.34798
train | 1:7.73951 | 2:5.38226 | 3:5.58482
train | 1:7.57746 | 2:5.18328 | 3:5.25387
train | 1:7.76879 | 2:5.13891 | 3:5.27160
train | 1:7.81835 | 2:5.15395 | 3:5.17429
train | 1:7.57821 | 2:5.26231 | 3:5.70059
train | 1:7.73319 | 2:5.58480 | 3:6.03650
train | 1:7.72685 | 2:5.25717 | 3:5.43366
train | 1:7.79172 | 2:5.30935 | 3:5.49255
train | 1:7.67821 | 2:5.15159 | 3:5.25967
train | 1:7.74319 | 2:5.33754 | 3:5.47929
train | 1:7.53797 | 2:5.05463 | 3:5.25434
train | 1:7.51350 | 2:5.19597 | 3:5.25501
train | 1:7.61211 | 2:5.01167 | 3:5.08162
train | 1:7.81373 | 2:5.31582 | 3:5.40430
train | 1:7.84772 | 2:5.21045 | 3:5.23902
train | 1:7.84942 | 2:5.19244 | 3:5.31098
train | 1:7.78426 | 2:5.24019 | 3:5.27577
train | 1:7.68418 | 2:5.22285 | 3:5.30151
train | 1:7.77155 | 2:5.29478 | 3:5.34657
train | 1:7.54630 | 2:5.03277 | 3:5.18425
train | 1:7.65511 | 2:5.15055 | 3:5.20617
train | 1:7.44082 | 2:5.01173 | 3:5.04761
train | 1:7.65388 | 2:5.26078 | 3:5.31971
train | 1:7.67097 | 2:5.14397 | 3:5.20380
train | 1:7.54399 | 2:5.23614 | 3:5.32029
train | 1:7.48209 | 2:4.97028 | 3:4.97621
train | 1:7.63042 | 2:5.10849 | 3:5.11180
train | 1:7.57421 | 2:5.10412 | 3:5.18307
train | 1:7.55521 | 2:4.96546 | 3:5.06928
train | 1:7.40697 | 2:5.07496 | 3:5.13259
train | 1:7.60744 | 2:5.23238 | 3:5.36390
train | 1:7.42121 | 2:4.96725 | 3:5.03700
train | 1:7.39948 | 2:5.11749 | 3:5.20712
train | 1:7.58984 | 2:5.21746 | 3:5.36862
train | 1:7.53213 | 2:5.33619 | 3:5.44181
train | 1:7.60058 | 2:5.07213 | 3:5.12299
