    0 val 1:10.84957 | 2:10.85946 | 3:10.83371
    0 train 1:10.84512 | 2:10.85891 | 3:10.83208
    1 train 1:10.84007 | 2:10.84369 | 3:10.81480
    2 train 1:10.82595 | 2:10.82450 | 3:10.79113
    3 train 1:10.81165 | 2:10.79006 | 3:10.75903
    4 train 1:10.78518 | 2:10.75562 | 3:10.71687
    5 train 1:10.77400 | 2:10.73528 | 3:10.68325
    6 train 1:10.75683 | 2:10.70866 | 3:10.64634
    7 train 1:10.74224 | 2:10.68084 | 3:10.59595
    8 train 1:10.73128 | 2:10.66880 | 3:10.54640
    9 train 1:10.73607 | 2:10.65814 | 3:10.53067
   10 train 1:10.71637 | 2:10.62737 | 3:10.41439
   11 train 1:10.71325 | 2:10.63177 | 3:10.42572
   12 train 1:10.69746 | 2:10.55507 | 3:10.29982
   13 train 1:10.68939 | 2:10.53854 | 3:10.24918
   14 train 1:10.69400 | 2:10.50121 | 3:10.20190
   15 train 1:10.69140 | 2:10.49092 | 3:10.21457
   16 train 1:10.61132 | 2:10.30695 | 3:9.90781
   17 train 1:10.65928 | 2:10.44487 | 3:10.11084
   18 train 1:10.66909 | 2:10.51898 | 3:10.26157
   19 train 1:10.63486 | 2:10.37119 | 3:10.05395
   20 train 1:10.61299 | 2:10.33953 | 3:10.06410
   21 train 1:10.59702 | 2:10.25249 | 3:10.10863
   22 train 1:10.59208 | 2:10.26197 | 3:9.95885
   23 train 1:10.59102 | 2:10.25561 | 3:10.03141
   24 train 1:10.57702 | 2:10.21941 | 3:9.96871
   25 train 1:10.56147 | 2:10.19011 | 3:9.95659
   26 train 1:10.53989 | 2:10.11460 | 3:9.84363
   27 train 1:10.53536 | 2:10.05536 | 3:9.88548
   28 train 1:10.52117 | 2:10.09000 | 3:9.87072
   29 train 1:10.50417 | 2:9.99737 | 3:9.83869
   30 train 1:10.50400 | 2:10.03739 | 3:9.82050
   31 train 1:10.49635 | 2:10.00683 | 3:9.80413
   32 train 1:10.48251 | 2:9.96746 | 3:9.74088
   33 train 1:10.46623 | 2:9.93126 | 3:9.64881
   34 train 1:10.49199 | 2:10.05156 | 3:9.82889
   35 train 1:10.43425 | 2:9.84953 | 3:9.66777
   36 train 1:10.44621 | 2:9.90958 | 3:9.66249
   37 train 1:10.39604 | 2:9.84676 | 3:9.56170
   38 train 1:10.42160 | 2:9.84952 | 3:9.64054
   39 train 1:10.38508 | 2:9.72995 | 3:9.43558
   40 train 1:10.40486 | 2:9.78612 | 3:9.45844
   41 train 1:10.36304 | 2:9.61585 | 3:9.39616
   42 train 1:10.37196 | 2:9.73785 | 3:9.44489
   43 train 1:10.35867 | 2:9.69390 | 3:9.40738
   44 train 1:10.35693 | 2:9.66802 | 3:9.33704
   45 train 1:10.30960 | 2:9.57055 | 3:9.26882
