val 1=-11.241270065307617|2=-6.742697715759277|3=-4.043902397155762
val 1=-11.324668884277344|2=-6.789131164550781|3=-4.0756330490112305
val 1=-11.234542846679688|2=-6.742792129516602|3=-4.047010898590088
val 1=-11.228590965270996|2=-6.7311601638793945|3=-4.03938102722168
1=-11.227249145507812|2=-6.748171806335449|3=-4.0443878173828125
1=-11.213876724243164|2=-6.725128173828125|3=-4.035131454467773
1=-11.20543098449707|2=-6.7214555740356445|3=-4.030797481536865
1=-11.149249076843262|2=-6.694902420043945|3=-4.013918876647949
1=-11.103660583496094|2=-6.66218376159668|3=-3.9952707290649414
1=-11.044156074523926|2=-6.623649597167969|3=-3.980114459991455
1=-10.983607292175293|2=-6.596245765686035|3=-3.9562501907348633
1=-10.909002304077148|2=-6.55122184753418|3=-3.926500082015991
1=-10.774942398071289|2=-6.464198589324951|3=-3.880202531814575
1=-10.707468032836914|2=-6.4252400398254395|3=-3.856632709503174
1=-10.626165390014648|2=-6.380825042724609|3=-3.821697235107422
1=-10.427210807800293|2=-6.2567667961120605|3=-3.7487947940826416
1=-10.292952537536621|2=-6.176244735717773|3=-3.7033441066741943
1=-10.357376098632812|2=-6.216981887817383|3=-3.72753643989563
1=-10.082561492919922|2=-6.047283172607422|3=-3.6352663040161133
1=-10.14224910736084|2=-6.093255996704102|3=-3.6523637771606445
1=-10.037696838378906|2=-6.019466400146484|3=-3.6089870929718018
1=-9.938680648803711|2=-5.966872215270996|3=-3.5811591148376465
1=-10.319428443908691|2=-6.188498497009277|3=-3.713696241378784
1=-9.837213516235352|2=-5.90590763092041|3=-3.545504093170166
1=-9.822858810424805|2=-5.8961567878723145|3=-3.5366005897521973
1=-9.736468315124512|2=-5.844431400299072|3=-3.508366823196411
1=-9.693926811218262|2=-5.814342021942139|3=-3.488705635070801
1=-9.77804183959961|2=-5.870094299316406|3=-3.519110679626465
1=-9.696744918823242|2=-5.8248796463012695|3=-3.491605043411255
1=-9.570569038391113|2=-5.746333599090576|3=-3.4490275382995605
1=-9.54421329498291|2=-5.737428665161133|3=-3.438656806945801
1=-9.436443328857422|2=-5.669821739196777|3=-3.4021096229553223
1=-9.490501403808594|2=-5.706755638122559|3=-3.427572727203369
1=-9.29870319366455|2=-5.582749843597412|3=-3.3488569259643555
1=-9.415282249450684|2=-5.648319244384766|3=-3.3886609077453613
1=-9.290809631347656|2=-5.572125434875488|3=-3.348818063735962
1=-9.334994316101074|2=-5.607405662536621|3=-3.3628692626953125
1=-9.200881958007812|2=-5.518041610717773|3=-3.315030574798584
1=-9.160475730895996|2=-5.4878129959106445|3=-3.299600124359131
1=-9.036136627197266|2=-5.418272972106934|3=-3.2507429122924805
1=-9.040454864501953|2=-5.429862022399902|3=-3.261225461959839
1=-8.964349746704102|2=-5.380589485168457|3=-3.228982925415039
1=-9.098740577697754|2=-5.460468769073486|3=-3.2834808826446533
1=-8.90186882019043|2=-5.3434929847717285|3=-3.2050743103027344
1=-8.89108943939209|2=-5.334165573120117|3=-3.202894687652588
1=-8.75885009765625|2=-5.2525506019592285|3=-3.151627779006958
1=-8.674985885620117|2=-5.207111358642578|3=-3.120985984802246
1=-8.461305618286133|2=-5.091618537902832|3=-3.0506041049957275
1=-8.64437484741211|2=-5.198570728302002|3=-3.117621421813965
1=-8.586957931518555|2=-5.143587112426758|3=-3.089862823486328
1=-8.672712326049805|2=-5.2019195556640625|3=-3.1200661659240723
1=-8.512059211730957|2=-5.118412494659424|3=-3.0631637573242188
1=-8.424625396728516|2=-5.063453197479248|3=-3.0377626419067383
1=-8.63653564453125|2=-5.177225589752197|3=-3.109640598297119
1=-8.382713317871094|2=-5.025211334228516|3=-3.0137577056884766
1=-8.341631889343262|2=-5.009600639343262|3=-3.0025181770324707
1=-8.223097801208496|2=-4.929865837097168|3=-2.9599483013153076
1=-8.276212692260742|2=-4.961582183837891|3=-2.9754936695098877
1=-8.374834060668945|2=-5.0315704345703125|3=-3.019866466522217
