0 val 1:10.98923397064209 | 2:9.885680198669434
0 train 1:-10.989337921142578 | 2:-9.885171890258789
1 train 1:-10.946083068847656 | 2:-9.850202560424805
2 train 1:-10.851097106933594 | 2:-9.765246391296387
3 train 1:-10.743728637695312 | 2:-9.653474807739258
4 train 1:-10.571657180786133 | 2:-9.513014793395996
5 train 1:-10.4317626953125 | 2:-9.397720336914062
6 train 1:-10.30215835571289 | 2:-9.271920204162598
7 train 1:-10.183433532714844 | 2:-9.174835205078125
8 train 1:-10.101358413696289 | 2:-9.09386157989502
9 train 1:-10.044717788696289 | 2:-9.049507141113281
10 train 1:-9.898579597473145 | 2:-8.915940284729004
11 train 1:-9.923880577087402 | 2:-8.940402030944824
12 train 1:-9.76646900177002 | 2:-8.803620338439941
13 train 1:-9.737229347229004 | 2:-8.777945518493652
14 train 1:-9.725839614868164 | 2:-8.76611328125
15 train 1:-9.726020812988281 | 2:-8.770793914794922
16 train 1:-9.421127319335938 | 2:-8.499345779418945
17 train 1:-9.656293869018555 | 2:-8.708942413330078
18 train 1:-9.935636520385742 | 2:-8.949153900146484
19 train 1:-9.646129608154297 | 2:-8.698619842529297
20 train 1:-9.634103775024414 | 2:-8.691917419433594
21 train 1:-9.606873512268066 | 2:-8.685136795043945
22 train 1:-9.570857048034668 | 2:-8.634586334228516
23 train 1:-9.603492736816406 | 2:-8.667015075683594
24 train 1:-9.560214042663574 | 2:-8.629937171936035
25 train 1:-9.53980827331543 | 2:-8.607471466064453
26 train 1:-9.438838958740234 | 2:-8.519697189331055
27 train 1:-9.435434341430664 | 2:-8.520633697509766
28 train 1:-9.419771194458008 | 2:-8.509488105773926
29 train 1:-9.394157409667969 | 2:-8.486658096313477
30 train 1:-9.390344619750977 | 2:-8.478363037109375
31 train 1:-9.37091064453125 | 2:-8.465198516845703
32 train 1:-9.348858833312988 | 2:-8.454902648925781
33 train 1:-9.261079788208008 | 2:-8.374135971069336
34 train 1:-9.386754989624023 | 2:-8.496482849121094
35 train 1:-9.220964431762695 | 2:-8.363116264343262
36 train 1:-9.240167617797852 | 2:-8.389786720275879
37 train 1:-9.149580001831055 | 2:-8.320464134216309
38 train 1:-9.174436569213867 | 2:-8.346087455749512
39 train 1:-9.046463012695312 | 2:-8.250922203063965
40 train 1:-9.043156623840332 | 2:-8.264820098876953
41 train 1:-8.9989652633667 | 2:-8.195028305053711
42 train 1:-9.000516891479492 | 2:-8.218755722045898
43 train 1:-8.969552040100098 | 2:-8.198319435119629
44 train 1:-8.948716163635254 | 2:-8.163665771484375
45 train 1:-8.83900260925293 | 2:-8.08932113647461
46 train 1:-8.88955307006836 | 2:-8.125244140625
47 train 1:-8.859010696411133 | 2:-8.091350555419922
48 train 1:-8.773427963256836 | 2:-8.032341003417969
49 train 1:-8.755342483520508 | 2:-8.0076904296875
50 train 1:-8.82840633392334 | 2:-8.047388076782227
51 train 1:-8.61976146697998 | 2:-7.890132904052734
52 train 1:-8.63967514038086 | 2:-7.910615921020508
53 train 1:-8.611551284790039 | 2:-7.899170875549316
54 train 1:-8.476629257202148 | 2:-7.806971549987793
55 train 1:-8.521026611328125 | 2:-7.827345371246338
56 train 1:-8.637298583984375 | 2:-7.904259204864502
57 train 1:-8.504874229431152 | 2:-7.822463035583496
58 train 1:-8.406498908996582 | 2:-7.753446578979492
59 train 1:-8.435043334960938 | 2:-7.774718284606934
60 train 1:-8.290812492370605 | 2:-7.678268909454346
61 train 1:-8.371589660644531 | 2:-7.745573997497559
62 train 1:-8.243776321411133 | 2:-7.637478828430176
63 train 1:-8.35599422454834 | 2:-7.672311305999756
64 train 1:-8.182744979858398 | 2:-7.578134536743164
65 train 1:-8.093222618103027 | 2:-7.507637023925781
66 train 1:-8.280847549438477 | 2:-7.606799125671387
67 train 1:-8.152168273925781 | 2:-7.523076057434082
68 train 1:-7.863701820373535 | 2:-7.379145622253418
69 train 1:-7.948868751525879 | 2:-7.392605781555176
70 train 1:-7.845638751983643 | 2:-7.327735424041748
71 train 1:-7.9317827224731445 | 2:-7.363787651062012
72 train 1:-7.756633758544922 | 2:-7.245352745056152
73 train 1:-7.757935523986816 | 2:-7.232906341552734
74 train 1:-7.697885513305664 | 2:-7.2356085777282715
75 train 1:-7.7684526443481445 | 2:-7.226652145385742
76 train 1:-7.963676452636719 | 2:-7.395862579345703
77 train 1:-7.7186431884765625 | 2:-7.219407081604004
78 train 1:-7.721669673919678 | 2:-7.2092742919921875
79 train 1:-7.758644104003906 | 2:-7.206129550933838
80 train 1:-7.80412483215332 | 2:-7.248363494873047
81 train 1:-7.720152854919434 | 2:-7.208608150482178
82 train 1:-7.559172630310059 | 2:-7.084366321563721
83 train 1:-7.483771324157715 | 2:-7.046131610870361
84 train 1:-7.702691078186035 | 2:-7.190656661987305
85 train 1:-7.584508895874023 | 2:-7.080672740936279
86 train 1:-7.735435485839844 | 2:-7.170448303222656
87 train 1:-7.159271240234375 | 2:-6.7481279373168945
88 train 1:-7.2292375564575195 | 2:-6.833438873291016
89 train 1:-7.411827087402344 | 2:-6.953310012817383
90 train 1:-7.615517616271973 | 2:-7.155564785003662
91 train 1:-7.332663536071777 | 2:-6.917851448059082
92 train 1:-7.2307233810424805 | 2:-6.784295082092285
93 train 1:-7.474336624145508 | 2:-6.971843719482422
94 train 1:-7.9058942794799805 | 2:-7.349535942077637
95 train 1:-7.22088623046875 | 2:-6.786610126495361
96 train 1:-7.580496788024902 | 2:-7.058437347412109
97 train 1:-7.412884712219238 | 2:-6.965377330780029
98 train 1:-7.229207992553711 | 2:-6.7813191413879395
99 train 1:-7.293386459350586 | 2:-6.9141693115234375
100 train 1:-7.522308349609375 | 2:-7.059161186218262
101 train 1:-7.155559539794922 | 2:-6.7930755615234375
102 train 1:-7.344583511352539 | 2:-6.916272163391113
103 train 1:-7.280436992645264 | 2:-6.869208335876465
104 train 1:-7.547172546386719 | 2:-7.126891613006592
105 train 1:-7.1736040115356445 | 2:-6.849739074707031
106 train 1:-7.31568717956543 | 2:-6.961831569671631
107 train 1:-7.016359806060791 | 2:-6.697659969329834
108 train 1:-7.199514389038086 | 2:-6.836089134216309
109 train 1:-7.170832633972168 | 2:-6.840038776397705
110 train 1:-7.014472961425781 | 2:-6.765796661376953
111 train 1:-7.149507522583008 | 2:-6.825861930847168
112 train 1:-7.143763065338135 | 2:-6.85228157043457
113 train 1:-7.503525733947754 | 2:-7.144482612609863
114 train 1:-7.203585624694824 | 2:-6.875929832458496
115 train 1:-6.877800464630127 | 2:-6.6551361083984375
116 train 1:-7.064325332641602 | 2:-6.797704696655273
117 train 1:-7.088780403137207 | 2:-6.832703590393066
118 train 1:-7.025866508483887 | 2:-6.769643783569336
119 train 1:-7.005023002624512 | 2:-6.791235446929932
120 train 1:-7.098933696746826 | 2:-6.841797351837158
121 train 1:-6.766548156738281 | 2:-6.610733509063721
122 train 1:-6.921969413757324 | 2:-6.726525783538818
123 train 1:-6.7416276931762695 | 2:-6.605616569519043
124 train 1:-6.998841285705566 | 2:-6.798864364624023
125 train 1:-6.972557544708252 | 2:-6.795068740844727
126 train 1:-6.814863681793213 | 2:-6.6342854499816895
127 train 1:-6.965798377990723 | 2:-6.784621238708496
128 train 1:-6.804893493652344 | 2:-6.665903091430664
129 train 1:-7.165225028991699 | 2:-6.915097236633301
130 train 1:-6.829220771789551 | 2:-6.701905727386475
131 train 1:-6.9667840003967285 | 2:-6.821189880371094
132 train 1:-6.829758644104004 | 2:-6.701507091522217
133 train 1:-6.904567718505859 | 2:-6.780313491821289
134 train 1:-7.046990394592285 | 2:-6.806262016296387
135 train 1:-6.847574710845947 | 2:-6.710263252258301
136 train 1:-6.877381324768066 | 2:-6.72987174987793
137 train 1:-6.883011817932129 | 2:-6.7641167640686035
